wave,t1,qroulei,qzhurou,qniurou,qyangrou,qnailei,qqindan
2007,64,22.785,8.3,6.5,5.7,77.455,5.654
2007,15,205.021,60.338,39.398,80.818,916.062,43.023
2007,63,31.436,7.578,14.52,8.681,26.505,1.258
2007,11,47.851,22.45,2.776,1.862,62.242,15.557
2007,14,58.067,44.146,3.866,5.165,83.511,47.3
2007,21,348.007,191.032,38.235,6.968,108.299,204.15
2007,43,422.724,348.484,14.605,10.299,7.673,85.616
2008,21,373.288,210,37.7,7.34,107.26,254.2
2008,52,161.455,134.601,10.219,3.037,4.275,10.815
2008,14,63.297,45.431,4.228,5.055,70.016,61.599
2008,43,446.353,370.233,14.611,10.566,15.209,87.469
2008,64,23.566,8.45,6.826,5.875,89.22,6.445
2008,11,45.111,22.309,2.129,1.451,66.538,15.241
2008,13,421.098,245.775,56.831,26.48,515.325,410.998
2008,23,169.528,96.612,32.602,10.47,512.842,93.68
2008,35,169.416,136.603,2.14,1.648,14.868,33.024
2008,36,260.267,198.079,10.579,1.151,11.189,40.024
2008,41,584.828,367.1,84.1,26.5,298.617,371.7
2008,37,660.31,321.342,70.674,33.21,254.924,364.984
2008,42,340.008,260.382,16.093,7.297,33.184,124.096
2008,50,177.425,140.654,5.189,1.782,7.784,41.294
2008,51,591.521,436.241,28.676,23.998,66.612,143.015
2008,53,288.286,219.581,26.125,11.474,97.32,19.412
2008,34,343.916,217.393,17.11,13.416,18.098,112.092
2008,44,411.975,253.962,5.76,0.815,13.276,32.351
2008,46,61.146,36.89,2.194,1.04,0.473,3.11
2008,61,99.384,73.47,7.585,7.367,182.301,48.2
2008,62,79.099,42.92,14.77,15.35,34.693,11.88
2008,12,37.134,23.48,3.679,1.442,70.124,19.69
2008,15,217.986,64.684,43.09,84.844,921.231,45.547
2008,22,216.79,104.59,39.968,3.506,39.74,87.1
2008,45,350.768,218.359,12.451,2.922,7.504,17.936
2008,63,25.513,8.741,7.277,8.672,27.228,1.39
2008,65,115.318,22.29,32.42,45.968,142.317,24.89
2008,31,26.46,17.34,,0.545,23.286,6.204
2008,32,323.635,194.925,2.968,7.003,61.05,172.096
2008,33,170.083,126.854,0.982,1.844,22.51,41.432
2008,54,23.78,1.209,14.187,8.281,52.44,0.285
2009,23,187.638,108.205,36.8,11.58,534.691,101.9
2009,14,69.776,50.656,4.844,5.58,74.075,75.3
2009,21,389.234,218.8,40.2,7.84,115.639,263.097
2009,42,367.007,279.9,17.026,7.844,28.305,128.94
2009,46,66.05,39.66,2.28,1.11,0.36,3.19
2009,61,98.681,75,7.8,7.3,185.833,48.05
2009,33,170.374,128.17,1.04,1.74,19.93,43.28
2009,35,175.147,142.9,2.165,1.744,15.556,28.75
2009,37,684.134,341.266,69.632,32.9,258.148,377.118
2009,51,632.81,474.194,28.914,24.3,68.659,144.104
2009,11,47.191,24.127,2.087,1.403,67.399,15.399
2009,12,39.487,25.66,3.55,1.48,68.69,19.6
2009,15,233.988,68.6,47.4,88.2,934.046,48.87
2009,36,276.018,210.78,10.914,1.11,11.2,41.351
2009,53,304.594,230.824,27.988,12.07,105.934,20.755
2009,62,82.883,45.84,15.07,15.64,37.66,13.9
2009,45,371.253,232.334,13.36,3.156,8.072,19.338
2009,52,169.626,140.1,11.4,3.23,4.49,12.2
2009,32,344.403,204.477,3.26,7.5,55.4,185.2
2009,41,615.005,389.591,83.97,25.891,301.285,382.85
2009,50,187.703,146.5,5.93,2.058,7.942,35.966
2009,13,426.583,253.559,55.263,28.015,461.027,353.212
2009,34,362.548,229.8,17.545,13.82,20.1,118.192
2009,43,476.348,395.409,15.736,11,7.673,88.89
2009,64,25.554,9.16,7.28,6.8,81.14,7.48
2009,65,115.35,22.03,33.88,43.8,125.15,23.2
2009,22,226.23,113.166,41.82,3.647,44.5,98.6
2009,31,26.208,17.55,0.012,0.556,21.247,8.04
2009,44,426.991,262.089,6.06,0.877,14.372,33.9
2009,54,24.027,1.217,14.22,8.38,28.723,0.285
2009,63,26.908,9.192,8.1,8.847,25.346,1.515
2010,35,180.206,146.62,2.25,1.823,15.71,26.28
2010,44,441.097,275.455,6.27,0.911,14.494,34.409
2010,52,179.088,148.086,11.993,3.4,4.589,12.505
2010,61,102.624,79.125,7.3,7.264,177.582,47.07
2010,23,197.91,114.481,39.045,12.13,558.777,105.263
2010,63,28.288,9.183,8.459,9.78,26.256,1.559
2010,31,26.169,17.87,,0.54,24.71,6.28
2010,45,387.803,241.535,13.699,3.3,8.209,20.025
2010,51,656.639,492.214,29.405,24.8,70.307,144.392
2010,36,289.916,221.108,11.165,1.1,11.853,41.971
2010,54,24.984,1.263,14.775,8.707,29.38,0.286
2010,21,406.707,228.427,41.567,7.942,126.652,275.726
2010,32,365.812,213.065,3.478,7.37,57.284,190.571
2010,33,175.106,131.9,1.13,1.9,20.27,44.28
2010,46,68.47,41.231,2.25,1.1,0.19,3.5
2010,34,376.943,238.762,18.317,14.2,20.482,119.019
2010,62,84.362,46.298,16.08,15.6,36.282,13.81
2010,64,25.713,8.529,7.492,7.3,84.548,7.15
2010,65,121.736,23.05,35.469,46.95,132.827,24.351
2010,11,46.267,24.103,2.039,1.399,64.102,15.137
2010,14,72.435,53.087,4.917,5.6,74.937,70.481
2010,22,238.877,119.843,43.242,3.826,44.63,95.642
2010,37,704.36,353.21,68.657,32.67,271.559,384.283
2010,42,379.349,286.954,17.69,8.09,30.41,132.589
