scenario,indicator,coef_source,region,commodity,year,value
BS,land_prod,pn_land,USA,RIC,2045,3.02728
BS,co2_faostat,faostat_wld,USA,RIC,2050,11.1069
BS,water_green,,USA,RIC,2050,13.5468
BS,water_blue,,USA,RIC,2050,4.03093
BS,water_grey,,USA,RIC,2050,2.21051
BS,nitrogen_total,crop_nfert,USA,RIC,2050,0.307343
BS,land_harvested,ahv_physical,USA,RIC,2050,1.42255
BS,land_prod,pn_land,USA,RIC,2050,3.30985
BS,co2_faostat,faostat_wld,ARG,WHE,2024,3.05968
BS,water_green,,ARG,WHE,2024,22.3909
BS,water_blue,,ARG,WHE,2024,5.99663
BS,water_grey,,ARG,WHE,2024,3.62954
BS,nitrogen_total,crop_nfert,ARG,WHE,2024,0.52602
BS,land_harvested,ahv_physical,ARG,WHE,2024,5.67627
BS,land_prod,pn_land,ARG,WHE,2024,6.75059
BS,co2_faostat,faostat_wld,ARG,WHE,2030,3.37085
BS,water_green,,ARG,WHE,2030,24.6681
BS,water_blue,,ARG,WHE,2030,6.60648
BS,water_grey,,ARG,WHE,2030,3.99866
BS,nitrogen_total,crop_nfert,ARG,WHE,2030,0.579516
BS,land_harvested,ahv_physical,ARG,WHE,2030,5.97258
BS,land_prod,pn_land,ARG,WHE,2030,7.43712
BS,co2_faostat,faostat_wld,ARG,WHE,2035,3.52743
BS,water_green,,ARG,WHE,2035,25.8139
BS,water_blue,,ARG,WHE,2035,6.91336
BS,water_grey,,ARG,WHE,2035,4.1844
BS,nitrogen_total,crop_nfert,ARG,WHE,2035,0.606435
BS,land_harvested,ahv_physical,ARG,WHE,2035,6.12029
BS,land_prod,pn_land,ARG,WHE,2035,7.78258
