account,geography,scenario,indicator,boundary,region,commodity,year,unit,value,coef_source,quantity_variable,note
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,WHEA,2033,km3,49.9625,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,WHEA,2034,Mt CO2e,24.8324,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,WHEA,2034,Mha,23.6841,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,WHEA,2034,Mt N,5.0234,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,WHEA,2034,km3,49.9569,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,WHEA,2035,Mt CO2e,24.8197,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,WHEA,2035,Mha,23.6795,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,WHEA,2035,Mt N,5.02242,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,WHEA,2035,km3,49.9313,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,WHEA,2036,Mt CO2e,24.8003,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,WHEA,2036,Mha,23.6732,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,WHEA,2036,Mt N,5.02109,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,WHEA,2036,km3,49.8923,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,WHEA,2037,Mt CO2e,24.7749,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,WHEA,2037,Mha,23.6654,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,WHEA,2037,Mt N,5.01944,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,WHEA,2037,km3,49.8413,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,WHEA,2038,Mt CO2e,24.7442,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,WHEA,2038,Mha,23.6564,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,WHEA,2038,Mt N,5.01751,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,WHEA,2038,km3,49.7794,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,WHEA,2039,Mt CO2e,24.7086,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,WHEA,2039,Mha,23.6461,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,WHEA,2039,Mt N,5.01533,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,WHEA,2039,km3,49.7079,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,WHEA,2040,Mt CO2e,24.6687,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,WHEA,2040,Mha,23.6347,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,WHEA,2040,Mt N,5.01292,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,WHEA,2040,km3,49.6277,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,WHEA,2041,Mt CO2e,24.625,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,WHEA,2041,Mha,23.6224,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,WHEA,2041,Mt N,5.0103,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
