sample,variable,n,mean,sd,p1,p50,p95,p99,min,max
p99,qs1_pc,3172,5.188966483139946,10.184695,0,.83102494,27.857143,47.142857,0,82.64463
p99,qs2_pc,3172,.2877246776274771,1.5115769,0,0,1.0714285,7.5,0,25.714285
p99,qs3_pc,3172,1.452916075184057,4.5964851,0,0,8.5714283,25.714285,0,47.142857
p99,qs4_pc,3172,.4456965653924632,1.5752535,0,0,2.8571427,8.5714283,0,17.142857
p99,qs5_pc,3172,8.999971204391299,17.648037,0,1.0561862,47.142857,87.321426,0,128.57143
p99,qs6_pc,3172,1.267974513093043,6.1267447,0,0,6.4285712,32.142857,0,85.714287
p99,qg1_pc,3172,.4472275901642129,2.8982539,0,0,1.3927578,10.714286,0,66.1157
p99,qg2_pc,3172,.0283751038299039,.40492833,0,0,0,.42492917,0,12.857142
p99,qg3_pc,3172,.3343732612101218,1.9712641,0,0,1.0714285,8.5714283,0,42.857143
p99,qg4_pc,3172,.0599753297216714,.47784206,0,0,.0433526,2.1428571,0,13.846154
p99,qg5_pc,3172,.4158850632769034,2.4488721,0,0,1.1864407,11.142857,0,49.285713
p99,qg6_pc,3172,.5068137709925985,3.1662729,0,0,1.4285713,13.432836,0,64.285713
p99,p1,3172,2.855971981399748,.69257909,1.955,2.7,4.3325,5,1.5,5.875
p99,p2,3172,4.434606715006305,1.8778646,2,4,8,11.25,1.48,13.9
p99,p3,3172,13.48195187053384,4.0700417,9,12.75,22.200001,27.4,8,30
p99,p4,3172,8.491228457335014,2.6579847,4.5900002,7.96,15.5,18,4,21.700001
p99,p5,3172,2.219432928751576,.96193409,.98000002,2,4.29,5.4899998,.68000001,7.9000001
p99,p6,3172,5.775202243589743,1.9559424,2.5,5.5,8.5,12,2,12
p99,s1,3172,.2001791742285707,.15223305,.011866747,.16102576,.50857002,.75942165,0,.95613086
p99,s2,3172,.038436140430446,.06491141,0,.018519336,.13738845,.32965222,0,.90254372
p99,s3,3172,.3497064158464582,.20961194,.0035983385,.3287937,.72337615,.87898314,0,.97074974
p99,s4,3172,.073318257802623,.099058792,0,.04077867,.2690407,.53309554,0,.85419005
p99,s5,3172,.1231292765474296,.10709745,.0040719206,.094414771,.32659969,.53999466,0,.86160284
p99,s6,3172,.2152307351444726,.17613305,0,.16977957,.5755657,.73752087,0,.93898749
p99,food_exp,3172,685.0066450642294,859.68066,18.389544,262.2525,2408.3936,3594.4971,2.6779323,8039.5059
p99,food_exp_pc,3172,245.4877150410109,288.59775,7.1993189,107.26878,849.21625,1245.4247,1.9167725,1895.0026
p99,food_to_total_exp,3171,.449187043079658,.65639651,.0065999557,.17866462,1.7178631,3.074923,.00052859343,11.07516
p99,income_annual,3138,48538.31158189924,113943.55,360,26097.5,149239,318558,14,2728000
p99,hhsize,3172,2.960592686002522,1.4224485,1,3,6,7,1,10
