scenario,pgdp_multiplier_vs_2023,pgdp_real_2023_yuan_per_person,group,group_label_cn,item,item_label_cn,item_kcal_share_within_group_2023,kcal_per_cap_day,kg_per_cap_year,protein_g_per_cap_day,fat_g_per_cap_day,carb_g_per_cap_day
3x_2023_pgdp,3.0,231831.31583937534,oil,食用油,oil,食用油,1.0,232.70759086536944,9.447032662202185,0.0,25.856398985041047,0.0
3x_2023_pgdp,3.0,231831.31583937534,vegfruit,蔬菜水果,vegetable,蔬菜,0.5715044829741485,65.99824102096815,111.20047072267634,4.055313604902863,0.5036010359029698,14.20685027599957
3x_2023_pgdp,3.0,231831.31583937534,vegfruit,蔬菜水果,fruit,水果,0.42849551702585165,49.48333959150368,59.530055869805025,0.762310907220462,0.20060813347906897,12.705181787007703
3x_2023_pgdp,3.0,231831.31583937534,meatsea,肉类水产,pork,猪肉,0.7594886091488202,271.4900359449547,26.94803768061428,9.063400289512902,25.404985659998285,1.6478909617296185
3x_2023_pgdp,3.0,231831.31583937534,meatsea,肉类水产,beef,牛肉,0.026626450892129068,9.518004645115383,2.798375860250926,1.5104329540494108,0.31878484457324247,0.15180230693963928
3x_2023_pgdp,3.0,231831.31583937534,meatsea,肉类水产,mutton,羊肉,0.023440476922264718,8.379132807962291,1.5225609843662034,0.7846403319432407,0.5822857200210365,0.0
3x_2023_pgdp,3.0,231831.31583937534,meatsea,肉类水产,poultry,禽肉,0.11132795446680879,39.795765197513035,11.00997066405841,4.599151307257495,2.2400011548300753,0.3097873937530955
3x_2023_pgdp,3.0,231831.31583937534,meatsea,肉类水产,aquatic,水产品,0.07911650856997735,28.281324429045693,13.609338716679863,4.580194980703985,0.9105206889351296,0.44146457645339615
3x_2023_pgdp,3.0,231831.31583937534,dairyegg,奶类蛋类,egg,蛋类,0.7378382978879777,51.62170042261538,13.958632618869359,4.781118493180951,3.1634468225558177,1.0065512617223056
3x_2023_pgdp,3.0,231831.31583937534,dairyegg,奶类蛋类,milk,奶类,0.2621617021120224,18.341732717653585,12.306493459455071,1.0114926131058963,1.0789254539796227,1.146358294853349
