crop,province,region,year,C_var,q_output,S_labor,S_mach,S_fert,S_seed,S_other,w_labor,w_mach,w_fert,w_seed,w_other,labor_days,fert_kg,cost_labor,cost_mach,cost_fert,cost_seed,cost_other,cost_land,land_rent
peanut,广西,huanan,2024,1543.56,176.9,0.631928787996579,0.0945087978439452,0.118278524968255,0.106111845344528,0.0491720438466921,99.92,165.8333,9.10573566084788,18.4240719910011,33.4732811111941,9.76,20.05,975.42,145.88,182.57,163.79,75.9,261.99,2.92
peanut,江苏,changjiang,2004,409.88,278.1,0.462574412023031,0.0863911388699132,0.153508343905533,0.21908851371133,0.0784375914901923,13.7,34.1629830230443,4.8030534351145,5.14318442153494,8.97395481391785,13.4,13.1,189.6,35.41,62.92,89.8,32.15,50.9,4.1
peanut,江苏,changjiang,2005,437.92,160.1,0.487874497625137,0.0744428206065035,0.159435513335769,0.196908111070515,0.0813390573620753,15.3,35.7837555956525,4.26251526251526,4.77464008859358,11.5309773257939,13.06,16.38,213.65,32.6,69.82,86.23,35.62,69.22,6.46
peanut,江苏,changjiang,2006,509.21,270.4,0.442076942715186,0.0689303038039316,0.175801732094814,0.197619842501129,0.115571178884939,16.9,34.7917,4.6625,5.06952141057935,14.3679381065449,12.98,19.2,225.11,35.1,89.52,100.63,58.85,94.04,3.91
peanut,江苏,changjiang,2007,513.42,240.3,0.40818433251529,0.0730590939192085,0.184916832223131,0.224007635074598,0.109832106267773,18.7,40.8333,4.59980620155039,5.94366925064599,18.0479914178303,11.02,20.64,209.57,37.51,94.94,115.01,56.39,103.89,9.64
peanut,江西,changjiang,2019,1444.85,239.54,0.573090632245562,0.0972142436931169,0.114461708827906,0.14620894902585,0.0690244662075648,86.38,111.6667,5.3091492776886,13.3280757097792,33.0908164720566,8.97,31.15,828.03,140.46,165.38,211.25,99.73,130.71,6.76
peanut,江西,changjiang,2020,1310.62,235.89,0.557819963070913,0.0891410172284873,0.0970914529001541,0.195052723138667,0.0608948436617784,89.77,110,5.25826446280992,13.9085963003264,33.0560673551725,8.14,24.2,731.09,116.83,127.25,255.64,79.81,131.27,11.28
peanut,江西,changjiang,2021,1244.41,230.29,0.579616042944046,0.0691492353806222,0.1052627349507,0.186401587901094,0.0595703988235389,92.2,107.0833,5.84776785714286,14.2744615384615,34.5436634648127,7.82,22.4,721.28,86.05,130.99,231.96,74.13,131.07,11.25
peanut,江西,changjiang,2022,1360.79,217.73,0.551018158569654,0.0747286502693289,0.125897456624461,0.187942298223826,0.0604134363127301,95.3,120,7.53717553893533,15.5755176613886,39.2474507738589,7.87,22.73,749.82,101.69,171.32,255.75,82.21,132.13,11.21
peanut,江西,changjiang,2023,1303,223.69,0.565034535686876,0.0707367613200307,0.128357636224098,0.1839907904835,0.051880276285495,96.95,120,7.40371845949535,16.089932885906,39.8989067062372,7.59,22.59,736.24,92.17,167.25,239.74,67.6,129.37,10.82
peanut,江西,changjiang,2024,1281.97,216.41,0.582540933095158,0.0712029142647644,0.11713222618314,0.177671864396203,0.0514520620607347,99.92,120,6.74876404494382,15.5580601092896,38.2888855679724,7.47,22.25,746.8,91.28,150.16,227.77,65.96,73.18,6.25
peanut,河北,huabei,2004,374.13,197.5,0.396546654906049,0.0960094084943736,0.167829364124769,0.253174030417235,0.0864405420575736,13.7,30.5753594991272,4.19438877755511,5.80392156862745,17.232885533643,10.81,14.97,148.36,35.92,62.79,94.72,32.34,53.44,4.78
peanut,河北,huabei,2005,409.64,217.8,0.426984669465872,0.0865638121277219,0.153183282882531,0.226882140415975,0.1063860951079,15.3,30.7069570749288,4.37587168758717,6.21256684491979,14.7477848229273,11.37,14.34,174.91,35.46,62.75,92.94,43.58,75.18,2.95
