draw,success,nll_aidads,nll_maidads,lr_stat,message,elapsed_seconds,n_sampled_provinces,n_unique_sampled_provinces
332,True,-3134.8361838968217,-3288.616405641851,307.5604434900588,ok,66.03525900840759,31,22
333,True,-3085.4561668825827,-3253.0100918296953,335.1078498942252,ok,60.19919514656067,31,21
334,True,-3399.133523913767,-3465.5750476910075,132.88304755448098,ok,150.9229109287262,31,24
335,True,-3534.103250019182,-3545.360872359869,22.515244681375407,ok,74.45658302307129,31,16
336,True,-3016.934704109304,-3257.6135869381487,481.3577656576899,ok,179.4874222278595,31,20
337,True,-3057.0004221367585,-3272.501672102052,431.00249993058696,ok,201.8871350288391,31,21
338,False,-3241.902564363252,-3387.7401150956825,291.67510146486075,ok,248.93500304222107,31,20
339,True,-3585.367229216011,-3645.1302270366577,119.52599564129378,ok,245.66025710105896,31,19
340,True,-2981.459473219558,-3208.9938944103633,455.0688423816109,ok,84.34431600570679,31,19
341,True,-3471.0055415165552,-3509.811042776332,77.61100251955395,ok,120.7355179786682,31,20
342,True,-3154.720746351465,-3347.3191789726543,385.1968652423784,ok,55.56119894981384,31,19
343,True,-3324.9103444590137,-3520.656018097185,391.4913472763428,ok,79.52873921394348,31,21
344,True,-3603.404930024042,-3629.5863493528673,52.36283865765017,ok,143.3047182559967,31,20
345,True,-3127.860530932082,-3297.361667490333,339.0022731165018,ok,147.60892987251282,31,21
346,True,-3006.2513777736453,-3255.9769787646164,499.4512019819422,ok,169.5655550956726,31,20
347,True,-3103.166488312161,-3281.6263932156085,356.9198098068946,ok,178.52717304229736,31,20
348,True,-3267.9296509926335,-3341.556055440642,147.2528088960171,ok,104.53444409370422,31,21
349,True,-3302.420098465456,-3468.2056323739025,331.57106781689345,ok,188.5240638256073,31,19
350,True,-3420.8693207635174,-3582.7220807885105,323.70552004998626,ok,209.54847383499143,31,18
351,True,-3085.498895302455,-3234.6891205011575,298.3804503974052,ok,182.6375720500946,31,18
352,True,-3059.768676203619,-3346.7690910226997,574.0008296381611,ok,262.56509494781494,31,21
353,True,-2985.6591318829373,-3270.086093521306,568.8539232767371,ok,216.88082838058472,31,25
354,True,-3013.366154603859,-3320.796469138389,614.8606290690605,ok,232.7862901687622,31,18
355,True,-2991.535463152418,-3188.252272949034,393.4336195932319,ok,50.42273306846619,31,23
356,True,-2991.9362480188624,-3152.7795808736155,321.6866657095061,ok,210.2772181034088,31,19
357,True,-3184.491058366475,-3366.7974489533835,364.612781173817,ok,157.25972890853882,31,19
358,True,-3092.040820740983,-3171.7366832260045,159.39172497004347,ok,68.59463906288147,31,20
359,True,-3108.970849340531,-3267.4158126627053,316.88992664434863,ok,255.17711186408997,31,21
360,True,-3268.5952276149696,-3462.069631484025,386.9488077381111,ok,240.54584503173828,31,19
361,True,-2954.288615709906,-3305.579528557502,702.5818256951916,ok,165.60819602012634,31,18
362,True,-3583.792951186745,-3687.496498846592,207.40709531969333,ok,137.28906393051147,31,19
363,True,-3019.6621306863694,-3210.7078950601813,382.09152874762367,ok,182.98401498794556,31,20
364,True,-3126.636316521451,-3307.171135806557,361.0696385702113,ok,143.43850016593933,31,20
365,True,-3118.5774597002196,-3291.7997428345325,346.44456626862575,ok,81.09297513961792,31,18
366,True,-3052.6928091045907,-3281.6332076760873,457.8807971429933,ok,165.43422102928162,31,23
367,True,-3160.29086103899,-3369.029814777176,417.4779074763719,ok,103.09156918525696,31,23
368,True,-3414.182751575964,-3486.7293235282673,145.09314390460622,ok,180.57612109184265,31,16
