scenario,base_ssp,diet_pathway,year,population_million,food_demand_mt,energy_kcal,protein_g,fat_g,kcal_per_capita_day,protein_g_per_capita_day,fat_g_per_capita_day
SSP2__MTS,SSP2,MTS,2042,9193.020462047289,3124.5182206383242,7558473637118944.0,206949706299740.88,237489745634701.03,2252.594458644237,61.67564828691255,70.7772641257065
SSP2__MTS,SSP2,MTS,2043,9244.963031960817,3160.1636727172627,7638925439585082.0,209165724457614.2,239888631051455.97,2263.7800471268565,61.985837840001224,71.09050884208642
SSP2__MTS,SSP2,MTS,2044,9297.86580194625,3196.5589766239473,7721071339258713.0,211429360503491.72,242338788541610.62,2275.1049066690334,62.30015944154872,71.40798765630645
SSP2__MTS,SSP2,MTS,2045,9351.745837019509,3233.720288373596,7804947370768026.0,213741644618963.78,244841289917490.38,2286.569569663805,62.61863368689508,71.7297140297663
SSP2__MTS,SSP2,MTS,2046,9394.430862409085,3267.859645814071,7881651743894368.0,215870838539569.9,247169626412958.0,2298.5497192845382,62.95505960552327,72.0828189151189
SSP2__MTS,SSP2,MTS,2047,9437.950472105107,3302.701484131291,7959942336397893.0,218045084200259.78,249547045091902.34,2310.677647659497,63.29592363247846,72.44057240171843
SSP2__MTS,SSP2,MTS,2048,9482.317787481512,3338.2601010983717,8039850819041286.0,220265298830193.6,251974512388180.62,2322.9540539548743,63.64125160772495,72.8029945106897
SSP2__MTS,SSP2,MTS,2049,9527.546188175404,3374.5501568813243,8121409657361502.0,222532423716077.44,254453019599590.9,2335.379643191202,63.9910698046682,73.17010558416723
SSP2__MTS,SSP2,MTS,2050,9573.649317210557,3411.586683663099,8204652132193744.0,224847424859472.6,256983583542699.84,2347.955126359393,64.34540494117813,73.54192629346215
SSP2__PTS,SSP2,PTS,2023,7993.414718056831,2438.833109186321,6000311539079834.0,164374376261898.03,192312107293866.22,2056.594118527788,56.3389706109717,65.91456896968096
SSP2__PTS,SSP2,PTS,2024,8063.880833517145,2476.766235695419,6088846807501512.0,166821426649729.34,194882660284136.6,2068.702702799079,56.6780454666592,66.21192794040714
SSP2__PTS,SSP2,PTS,2025,8135.740129227402,2516.5349770705584,6180566235563144.0,169408704318337.1,197665175182749.94,2081.3174844158984,57.04870474183527,66.56412527395297
SSP2__PTS,SSP2,PTS,2026,8202.03695736916,2553.9203709013022,6267113833968819.0,171806877396197.25,200253116058121.94,2093.4037455365496,57.38864334978465,66.89053914087937
SSP2__PTS,SSP2,PTS,2027,8269.56240594341,2591.9842887662257,6355265174406400.0,174245145863338.25,202880712437186.75,2105.5147243122155,57.72783828637893,67.21487075562476
SSP2__PTS,SSP2,PTS,2028,8338.34282407324,2630.828959968001,6445205957974167.0,176731192085796.25,205557122521526.62,2117.6987907018943,58.0684983846555,67.53982302852933
SSP2__PTS,SSP2,PTS,2029,8408.40520824516,2670.50113622942,6537019711772085.0,179268426766320.38,208286082199514.78,2129.9690728973173,58.411358936488526,67.86623460856143
SSP2__PTS,SSP2,PTS,2030,8479.777219277335,2711.029842465251,6630763201424021.0,181858822930071.1,211069628082952.38,2142.329221002525,58.75665570089196,68.19435684434242
SSP2__PTS,SSP2,PTS,2031,8541.342053189861,2747.885035965775,6716131129047574.0,184225427848483.66,213657580390711.16,2154.270270770009,59.09225932432839,68.53293432131585
SSP2__PTS,SSP2,PTS,2032,8604.037860737553,2785.4905288900723,6803209455624088.0,186639182525326.03,216294910056200.78,2166.300325160436,59.43026220632538,68.87333648061434
SSP2__PTS,SSP2,PTS,2033,8667.887696366779,2823.8641612118777,6892038409248432.0,189101214638865.06,218982763414221.53,2178.4196649841483,59.770677436867864,69.21556871679299
SSP2__PTS,SSP2,PTS,2034,8732.915153120195,2863.0241259746012,6982659246358112.0,191612671946858.25,221722307982843.7,2190.628552123087,60.11351482378419,69.55963356842516
SSP2__PTS,SSP2,PTS,2035,8799.144375956763,2902.9891205680647,7075114471099211.0,194174734925619.3,224514746410413.4,2202.9272887317334,60.45878467369032,69.90553490130934
SSP2__PTS,SSP2,PTS,2036,8855.606330843266,2939.286965674237,7159101212005350.0,196507705141262.94,227088334219999.9,2214.8653847663313,60.79507763172644,70.25603855197312
SSP2__PTS,SSP2,PTS,2037,8913.097851390046,2976.2925852933004,7244706478620951.0,198885466980111.75,229709320369978.47,2226.8925160779972,61.13381670902353,70.60851504678774
SSP2__PTS,SSP2,PTS,2038,8971.638677272733,3014.0221820252796,7331967137491017.0,201309053742047.22,232378769306421.53,2239.0091622271952,61.47501854761045,70.96297403239623
SSP2__PTS,SSP2,PTS,2039,9031.248984246591,3052.4923805279336,7420921008624797.0,203779526240257.5,235097772877725.7,2251.215803047043,61.818700034178185,71.31942530426952
SSP2__PTS,SSP2,PTS,2040,9091.949394267884,3091.7202397344454,7511606892406100.0,206297973625659.03,237867451129873.16,2263.512918767054,62.164878315080365,71.67787882123775
SSP2__PTS,SSP2,PTS,2041,9142.021375037797,3127.8784644386383,7595027870327138.0,208631436432251.62,240457756305256.12,2276.1153886556967,62.52369723040092,72.06156564431946
SSP2__PTS,SSP2,PTS,2042,9193.020462047289,3164.718579910324,7680007686421719.0,211008422805929.12,243094555790961.97,2288.8143277791355,62.88523672367694,72.4476231037076
SSP2__PTS,SSP2,PTS,2043,9244.963031960817,3202.2557075429063,7766580655836033.0,213429906129487.62,245778867784608.22,2301.610411324817,63.249519422241605,72.83606854087148
SSP2__PTS,SSP2,PTS,2044,9297.86580194625,3240.5053545930223,7854781957845711.0,215896885159927.7,248511736196901.2,2314.5043204361696,63.61656837237181,73.2269196259871
SSP2__PTS,SSP2,PTS,2045,9351.745837019509,3279.4834249027867,7944647659272500.0,218410384754419.44,251294231362324.6,2327.4967423138046,63.98640705105429,73.62019436764055
SSP2__PTS,SSP2,PTS,2046,9394.430862409085,3315.3391942335707,8027087188929694.0,220732253319301.22,253891189334176.84,2340.963493988417,64.37280856733616,74.04304845427475
SSP2__PTS,SSP2,PTS,2047,9437.950472105107,3351.85483812098,8111032441822761.0,223096526219834.66,256533819222956.6,2354.5373283749414,64.76229784347076,74.46875076427405
SSP2__PTS,SSP2,PTS,2048,9482.317787481512,3389.044533966476,8196515389876914.0,225504123391410.1,259223096595350.97,2368.2191475647974,65.15490516005384,74.89732790672745
SSP2__PTS,SSP2,PTS,2049,9527.546188175404,3426.922812941429,8283568787144171.0,227955988234681.62,261960021115468.4,2382.009864621884,65.55066139093935,75.32880699946827
SSP2__PTS,SSP2,PTS,2050,9573.649317210557,3465.5045695677845,8372226190310291.0,230453088271295.53,264745617195162.4,2395.9104037386414,65.94959801754148,75.76321568046272
SSP3__BASELINE,SSP3,BASELINE,2023,7993.414718056831,2438.833109186321,6000311539079834.0,164374376261898.03,192312107293866.22,2056.594118527788,56.3389706109717,65.91456896968096
SSP3__BASELINE,SSP3,BASELINE,2050,10032.693332667446,3340.258836641741,8129595573103659.0,220756589395216.53,253283599645344.56,2220.028445534459,60.28416833156805,69.1666382347919
