T1,wave,total_豆类,ratio_豆类
52,2009,1050.0,1.0
52,2009,1104.0,1.0
52,2009,775.0,1.0
52,2009,350.0,0.71428573
52,2009,370.0,1.0
52,2009,650.0,1.0
52,2009,200.0,1.0
52,2009,1354.0,1.0
52,2009,750.0,1.0
52,2009,750.0,1.0
52,2009,1030.0,1.0
52,2009,950.0,0.89473683
52,2009,2771.0,1.0
52,2009,710.0,0.71830988
52,2009,1092.0,0.90842491
52,2009,1010.0,1.0
52,2009,580.0,1.0
52,2009,1230.0,1.0
52,2009,1180.0,0.95762712
52,2009,460.0,0.086956523
52,2009,705.0,1.0
52,2009,330.0,1.0
52,2009,1320.0,1.0
52,2009,700.0,1.0
52,2009,650.0,0.69230771
52,2009,600.0,1.0
52,2009,1680.0,1.0
52,2009,700.0,0.42857143
52,2009,780.0,0.44871795
52,2009,250.0,0.72000003
52,2009,380.0,1.0
52,2009,100.0,1.0
52,2009,1050.0,0.80952382
52,2009,550.0,1.0
52,2009,480.0,1.0
52,2009,500.0,1.0
52,2009,150.0,1.0
52,2009,100.0,1.0
52,2009,480.0,0.79166669
52,2009,850.0,1.0
52,2009,1250.0,0.40000001
52,2009,500.0,0.80000001
52,2009,400.0,1.0
52,2009,350.0,1.0
52,2009,500.0,1.0
52,2009,950.0,1.0
52,2009,360.0,1.0
52,2009,350.0,1.0
52,2009,550.0,1.0
52,2009,320.0,1.0
52,2009,680.0,0.7352941
52,2009,560.0,1.0
52,2009,530.0,1.0
52,2009,2089.0,1.0
52,2009,1100.0,0.90909094
52,2009,675.0,1.0
52,2009,1270.0,0.81102359
52,2009,1150.0,0.9130435
52,2009,230.0,1.0
52,2009,1295.0,1.0
52,2009,450.0,0.77777779
52,2009,550.0,0.85454547
52,2009,880.0,1.0
52,2009,1150.0,0.69565219
52,2009,558.0,0.73118281
52,2009,1096.0,0.32846716
52,2009,200.0,0.0
52,2009,555.0,1.0
52,2009,650.0,1.0
52,2009,860.0,0.0
52,2009,750.0,1.0
52,2009,300.0,1.0
52,2009,1110.0,1.0
52,2009,230.0,0.2173913
52,2009,300.0,1.0
52,2009,450.0,1.0
52,2009,675.0,0.18518518
52,2009,390.0,1.0
52,2009,360.0,0.33333334
52,2009,180.0,1.0
52,2009,100.0,1.0
52,2009,1215.0,1.0
52,2009,750.0,1.0
52,2009,650.0,1.0
52,2009,860.0,0.093023255
52,2009,800.0,0.875
52,2009,760.0,1.0
52,2009,630.0,1.0
52,2009,780.0,1.0
52,2009,410.0,1.0
52,2009,598.0,0.89966553
52,2009,750.0,1.0
