T1,wave,total_大米,ratio_大米
42,2009,5519.0,1.0
42,2009,2456.0,0.95928341
42,2009,3650.0,1.0
42,2009,1820.0,0.49450549
42,2009,3052.4,0.99970514
42,2009,1625.0,0.79076922
42,2009,930.0,0.83870965
42,2009,1350.0,1.0
42,2009,2924.0,0.75376195
42,2009,3459.5,0.91255963
42,2009,4264.0,1.0
42,2009,1835.0,0.8910082
42,2009,1000.0,0.0
42,2009,4190.0,1.0
42,2009,2875.0,0.90782607
42,2009,4104.0,0.9756335
42,2009,2211.0,0.99864316
42,2009,2151.7,0.54352373
42,2009,1170.0,1.0
42,2009,3210.0,0.55451715
42,2009,1240.0,1.0
42,2009,1050.0,1.0
42,2009,600.0,0.0
42,2009,2821.0,0.77525699
42,2009,1770.0,0.85875708
42,2009,635.0,1.0
42,2009,4807.0,0.86270022
42,2009,1150.0,1.0
42,2009,2615.0,1.0
42,2009,1250.0,0.95999998
42,2009,600.0,1.0
42,2009,1153.0,0.73980922
42,2009,2747.0,1.0
42,2009,1950.0,0.84615386
42,2009,4095.0,0.96336997
42,2009,4157.0,0.61510706
42,2009,750.0,1.0
42,2009,2750.0,0.85454547
42,2009,1450.0,0.93103451
42,2009,5547.0,1.0
42,2009,1845.0,1.0
42,2009,5248.0,1.0
42,2009,2104.5,0.59586602
42,2009,6002.0,1.0
42,2009,3248.0,1.0
42,2009,1200.0,1.0
42,2009,950.0,1.0
42,2009,2880.0,1.0
42,2009,600.0,1.0
42,2009,900.0,1.0
42,2009,1736.0,0.81278801
42,2009,1850.0,0.72972971
42,2009,1880.0,0.61702126
42,2009,2612.5,0.96114832
42,2009,1950.0,1.0
42,2009,1490.0,1.0
42,2009,780.0,1.0
42,2009,1950.0,1.0
42,2009,1910.0,0.41361257
42,2009,3250.0,1.0
42,2009,995.0,0.87939698
42,2009,3916.7,0.7804274
42,2009,2992.0,0.96657753
42,2009,1600.0,1.0
42,2009,1930.0,1.0
42,2009,5307.0,1.0
42,2009,4700.0,1.0
42,2009,5074.0,0.9369334
43,2009,502.0,1.0
43,2009,3658.0,0.90431929
43,2009,2850.0,0.63157892
43,2009,785.0,1.0
43,2009,1740.0,1.0
43,2009,4330.0,0.73210162
43,2009,2750.0,1.0
43,2009,1040.0,0.47115386
43,2009,1710.0,1.0
43,2009,900.0,1.0
43,2009,600.0,1.0
43,2009,2228.0,0.87387794
43,2009,590.0,1.0
43,2009,3000.0,1.0
43,2009,2400.0,0.79166669
43,2009,2703.0,0.96300405
43,2009,3700.0,0.87837839
43,2009,3870.0,1.0
43,2009,3310.0,1.0
43,2009,1405.0,1.0
43,2009,3089.2,0.90288746
