diet_pathway,source_scenario,year,world_commodity,source_commodities,baseline_kg_per_capita,pathway_kg_per_capita,preference_multiplier_vs_baseline,mapping_note
PTS,A1,2032,OTO,SOYO+RAPO+GRDO,22.767063058029336,23.133896203204504,1.0161124491217937,total vegetable-oil multiplier
PTS,A1,2033,OTO,SOYO+RAPO+GRDO,22.850008686724543,23.26461464570018,1.0181446740200373,total vegetable-oil multiplier
PTS,A1,2034,OTO,SOYO+RAPO+GRDO,22.933010722839796,23.395820972157196,1.0201809633680794,total vegetable-oil multiplier
PTS,A1,2035,OTO,SOYO+RAPO+GRDO,23.01641032819969,23.527865469221492,1.0222213252948122,total vegetable-oil multiplier
PTS,A1,2036,OTO,SOYO+RAPO+GRDO,23.10742102265488,23.668140339007333,1.0242657679454024,total vegetable-oil multiplier
PTS,A1,2037,OTO,SOYO+RAPO+GRDO,23.199059290130656,23.809526283975455,1.0263142994812942,total vegetable-oil multiplier
PTS,A1,2038,OTO,SOYO+RAPO+GRDO,23.287554783606836,23.948151175318444,1.0283669280802565,total vegetable-oil multiplier
PTS,A1,2039,OTO,SOYO+RAPO+GRDO,23.37287576279929,24.083964233488523,1.030423661936415,total vegetable-oil multiplier
PTS,A1,2040,OTO,SOYO+RAPO+GRDO,23.454992129580265,24.216916038613622,1.032484509260289,total vegetable-oil multiplier
PTS,A1,2041,OTO,SOYO+RAPO+GRDO,23.543927381417976,24.35735778908052,1.0345494782788254,total vegetable-oil multiplier
PTS,A1,2042,OTO,SOYO+RAPO+GRDO,23.63308303579926,24.498492912252903,1.0366185772352565,total vegetable-oil multiplier
PTS,A1,2043,OTO,SOYO+RAPO+GRDO,23.719284421871556,24.637026572182425,1.0386918143898396,total vegetable-oil multiplier
PTS,A1,2044,OTO,SOYO+RAPO+GRDO,23.802502427271257,24.77291136206133,1.0407691980183664,total vegetable-oil multiplier
PTS,A1,2045,OTO,SOYO+RAPO+GRDO,23.882709366237627,24.906101050158103,1.0428507364146555,total vegetable-oil multiplier
PTS,A1,2046,OTO,SOYO+RAPO+GRDO,23.96279599320222,25.039598686961178,1.044936437887483,total vegetable-oil multiplier
PTS,A1,2047,OTO,SOYO+RAPO+GRDO,24.040772368854682,25.171321201261396,1.0470263107632667,total vegetable-oil multiplier
PTS,A1,2048,OTO,SOYO+RAPO+GRDO,24.11574669338684,25.3003209342616,1.049120363384792,total vegetable-oil multiplier
PTS,A1,2049,OTO,SOYO+RAPO+GRDO,24.187695300522627,25.426555290495028,1.0512186041117209,total vegetable-oil multiplier
PTS,A1,2050,OTO,SOYO+RAPO+GRDO,24.256595962325573,25.54998291790921,1.0533210413197498,total vegetable-oil multiplier
PTS,A1,2023,PLM,CHKM,17.18908809544014,17.18908809544014,1.0,poultry meat
PTS,A1,2024,PLM,CHKM,17.001519072376162,17.001519072376162,1.0,poultry meat
PTS,A1,2025,PLM,CHKM,17.228254352428316,17.279939115489146,1.0030000000002057,poultry meat
PTS,A1,2026,PLM,CHKM,17.444679569179286,17.54950464868334,1.0060089999984438,poultry meat
PTS,A1,2027,PLM,CHKM,17.673232545774635,17.83276929314262,1.009027027,poultry meat
PTS,A1,2028,PLM,CHKM,17.90354125539648,18.11935247672183,1.0120541080810088,poultry meat
PTS,A1,2029,PLM,CHKM,18.138532440690717,18.412247799975013,1.0150902704052431,poultry meat
PTS,A1,2030,PLM,CHKM,18.375854153457464,18.70911021384501,1.0181355412164523,poultry meat
PTS,A1,2031,PLM,CHKM,18.609479802432663,19.003813708761346,1.0211899478392263,poultry meat
PTS,A1,2032,PLM,CHKM,18.85766777818857,19.31503255711881,1.0242535176836258,poultry meat
PTS,A1,2033,PLM,CHKM,19.1119941853252,19.634253856090865,1.0273262782366621,poultry meat
PTS,A1,2034,PLM,CHKM,19.37310867626406,19.962211145163728,1.0304082570713824,poultry meat
PTS,A1,2035,PLM,CHKM,19.642007895020644,20.30000498184959,1.0334994818424725,poultry meat
PTS,A1,2036,PLM,CHKM,19.895524191128864,20.623699984345027,1.0365999802880714,poultry meat
PTS,A1,2037,PLM,CHKM,20.155727155977942,20.95610665169732,1.0397097802289903,poultry meat
PTS,A1,2038,PLM,CHKM,20.41402931103828,21.28833992635356,1.0428289095696812,poultry meat
PTS,A1,2039,PLM,CHKM,20.670272904465996,21.620224827932407,1.0459573962983897,poultry meat
PTS,A1,2040,PLM,CHKM,20.92429987767223,21.951583998075,1.0490952684872845,poultry meat
PTS,A1,2041,PLM,CHKM,21.170709703899558,22.2767216550225,1.0522425542927933,poultry meat
PTS,A1,2042,PLM,CHKM,21.42206776941745,22.608834941819342,1.0553992819542912,poultry meat
PTS,A1,2043,PLM,CHKM,21.670879444232387,22.940044896604164,1.0585654798014927,poultry meat
PTS,A1,2044,PLM,CHKM,21.91698714831456,23.27016771450744,1.0617411762408657,poultry meat
PTS,A1,2045,PLM,CHKM,22.160233593123056,23.5990177783783,1.0649263997696188,poultry meat
PTS,A1,2046,PLM,CHKM,22.39903691511954,23.924885717546,1.0681211789689269,poultry meat
PTS,A1,2047,PLM,CHKM,22.63679148289091,24.251372915999585,1.0713255425058357,poultry meat
PTS,A1,2048,PLM,CHKM,22.87125476089481,24.57606709274833,1.0745395191333533,poultry meat
PTS,A1,2049,PLM,CHKM,23.102272118005374,24.898777285687668,1.0777631376907788,poultry meat
PTS,A1,2050,PLM,CHKM,23.32968999371331,25.2193115286438,1.0809964271038188,poultry meat
PTS,A1,2023,PRK,PIGM,32.252583938084726,32.252583938084726,1.0,pigmeat
PTS,A1,2024,PRK,PIGM,31.5574317607294,31.5574317607294,1.0,pigmeat
PTS,A1,2025,PRK,PIGM,31.817360809477293,31.944630252714607,1.0039999999999814,pigmeat
PTS,A1,2026,PRK,PIGM,32.074566244892274,32.331675967916084,1.0080160000001481,pigmeat
PTS,A1,2027,PRK,PIGM,32.3408108237547,32.730454982371185,1.0120480639999998,pigmeat
PTS,A1,2028,PRK,PIGM,32.603191474330266,33.12798079906461,1.0160962562560028,pigmeat
PTS,A1,2029,PRK,PIGM,32.864950568080474,33.52752904720218,1.0201606412810256,pigmeat
PTS,A1,2030,PRK,PIGM,33.123450160674466,33.92640511798313,1.0242412838461485,pigmeat
PTS,A1,2031,PRK,PIGM,33.38328522697736,34.329309075560005,1.028338248981504,pigmeat
PTS,A1,2032,PRK,PIGM,33.65296148837184,34.74505399995526,1.0324516019774597,pigmeat
PTS,A1,2033,PRK,PIGM,33.92253004506831,35.16346397011188,1.0365814083853684,pigmeat
PTS,A1,2034,PRK,PIGM,34.192023053001115,35.5845866734724,1.0407277340189163,pigmeat
PTS,A1,2035,PRK,PIGM,34.46188642513829,36.00890273312791,1.0448906449549769,pigmeat
PTS,A1,2036,PRK,PIGM,34.73145174028984,36.435731285170746,1.0490702075347997,pigmeat
PTS,A1,2037,PRK,PIGM,35.00567545581268,36.87030486018676,1.0532664883649447,pigmeat
PTS,A1,2038,PRK,PIGM,35.274980464517675,37.30257062020858,1.0574795543184046,pigmeat
PTS,A1,2039,PRK,PIGM,35.53922481620588,37.73233163394085,1.0617094725356788,pigmeat
PTS,A1,2040,PRK,PIGM,35.79826898801365,38.15939073009409,1.06595631042582,pigmeat
PTS,A1,2041,PRK,PIGM,36.05733942157171,38.58929068756777,1.0702201356676164,pigmeat
PTS,A1,2042,PRK,PIGM,36.31948259996378,39.02532096179088,1.0745010162074777,pigmeat
